last_name, first_name,player_id,year,slg_percent,on_base_percent,on_base_plus_slg,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,
Pujols, Albert,405395,2019,.430,.305,.734,88.3,12.5,26.5,5.8,36.6,
Cabrera, Miguel,408234,2019,.398,.346,.744,90.4,12.3,37.7,6.7,44.6,
Mathis, Jeff,425772,2019,.224,.209,.433,86.1,16.9,29.6,1.4,26.4,
Choo, Shin-Soo,425783,2019,.455,.371,.826,91.9,9.1,32.1,9,48.7,
Wainwright, Adam,425794,2019,.220,.169,.389,87.9,14.6,27,0,22.2,
Greinke, Zack,425844,2019,.580,.286,.866,88.9,5.9,33.3,11.9,31,
Molina, Yadier,425877,2019,.399,.312,.711,87.4,13.9,40.4,3.8,35.1,
Cano, Robinson,429664,2019,.428,.307,.736,90.9,7.4,33.6,7.4,46.3,
Encarnacion, Edwin,429665,2019,.531,.344,.875,90.2,22.5,34.3,12.9,42.9,
Jones, Adam,430945,2019,.414,.313,.727,86.1,13.4,31.3,6.7,31,
Martin, Russell,431145,2019,.330,.337,.667,88.2,11.2,25.8,5.3,34,
Granderson, Curtis,434158,2019,.356,.281,.637,88.8,19.5,38,7.2,35.2,
Ramirez, Hanley,434670,2019,.327,.298,.625,88.9,6.3,50,6.3,43.8,
Sanchez, Anibal,434671,2019,.115,.107,.223,78.6,-1.5,25,0,0,
Morales, Kendrys,434778,2019,.253,.313,.566,91.3,9.5,29,6.9,44.8,
Kendrick III, Howie,435062,2019,.572,.395,.966,91.7,10.8,36.9,11.4,48.3,
Kinsler, Ian,435079,2019,.368,.278,.646,84.3,17.3,33.7,2,22.9,
McCann, Brian,435263,2019,.412,.323,.734,88.8,11.4,32.2,5.7,35.2,
Walker, Neil,435522,2019,.395,.344,.738,86.4,12,39.8,6.5,31.6,
Suzuki, Kurt,435559,2019,.486,.324,.809,86,18.9,39.7,6.5,32.4,
Desmond, Ian,435622,2019,.479,.309,.788,90.9,8.7,32.4,10.4,42.5,
Cruz Jr., Nelson,443558,2019,.639,.392,1.030,93.7,13.1,38.3,19.9,51.5,
Peralta, David,444482,2019,.461,.343,.804,90.1,6.4,29.1,5.4,40.9,
Pina, Manny,444489,2019,.411,.313,.724,88.5,16.2,44,8.3,34.3,
Jay, Jon,445055,2019,.315,.302,.617,83.1,5.8,36.2,1.4,12.8,
Prado, Martin,445988,2019,.294,.265,.559,87,8.4,31.9,0.5,28.6,
Duda, Lucas,446263,2019,.324,.252,.576,91.5,22.5,32,12,45.3,
Wieters, Matt,446308,2019,.435,.268,.702,88.8,13.8,31.7,7.3,34.1,
Longoria, Evan,446334,2019,.437,.325,.762,89.7,14,35.8,7.5,40.8,
Cozart, Zack,446359,2019,.144,.178,.322,85.9,21.6,31,1.2,21.4,
Rodriguez, Sean,446481,2019,.375,.338,.713,88.4,14,28.9,5.3,37.3,
Reynolds, Mark,448602,2019,.311,.290,.601,88.9,17.5,33.3,6.2,37,
Davis, Chris,448801,2019,.326,.276,.601,89.1,14.1,39.8,10.5,39.2,
Zobrist, Ben,450314,2019,.313,.358,.671,85.8,5.3,25,0.8,23.4,
Fowler, Dexter,451594,2019,.409,.345,.754,85.5,13.1,40.6,7.4,28.8,
Flowers, Tyler,452095,2019,.413,.319,.733,90.1,11.1,31.5,11.3,41.1,
Pence, Hunter,452254,2019,.552,.358,.910,91.5,9.9,36.1,9.1,42.6,
Lester, Jon,452657,2019,.292,.264,.556,86.3,4.9,28.6,0,21.4,
Cabrera, Asdrubal,452678,2019,.441,.342,.783,89.1,14.4,37.3,5.7,35.3,
Scherzer, Max,453286,2019,.182,.164,.346,87.2,-7.5,20.6,0,20.6,
Arrieta, Jake,453562,2019,.178,.160,.338,87,20.7,30,0,26.7,
Blackmon, Charlie,453568,2019,.576,.364,.940,88.7,14.6,36.8,8.3,40.3,
Frazier, Todd,453943,2019,.443,.329,.772,88.3,17.2,34,7,38.3,
Iannetta, Chris,455104,2019,.417,.311,.728,92.1,8.7,36.3,14.3,51.6,
Maldonado, Martin,455117,2019,.378,.291,.670,88,12.7,25.6,7.2,34.2,
Chirinos, Robinson,455139,2019,.443,.346,.788,87,16.9,35.5,7.7,37,
Markakis, Nick,455976,2019,.420,.356,.776,91.2,7.3,34.1,3,44.3,
Castillo, Welington,456078,2019,.417,.267,.684,89.5,13.2,30.4,11.4,42.4,
Kratz, Erik,456124,2019,.204,.170,.374,85.7,21.2,20,0,28.6,
Nunez, Eduardo,456488,2019,.305,.241,.547,88.1,5.9,23.1,1.4,33.3,
Pearce, Steve,456665,2019,.258,.242,.501,88.5,12.8,35.6,5.1,33.9,
Cain, Lorenzo,456715,2019,.372,.324,.696,89.5,6.9,31.1,4.1,42.1,
Solano, Donovan,456781,2019,.456,.360,.815,87,14.5,46.4,4.2,43.1,
